feature,correlation_with_pts_per_game,absolute_correlation
fga_per_game,0.9787867562048608,0.9787867562048608
mp_per_game,0.8898937274670301,0.8898937274670301
fta_per_game,0.8793142481885183,0.8793142481885183
tov_per_game,0.836088421599391,0.836088421599391
stl_per_game,0.6674884026158426,0.6674884026158426
ast_per_game,0.6382511219342457,0.6382511219342457
trb_per_game,0.6201545892737463,0.6201545892737463
g,0.5410180296234067,0.5410180296234067
x3pa_per_game,0.38712687166012955,0.38712687166012955
blk_per_game,0.33549045450911347,0.33549045450911347
ft_percent,0.3174610980650154,0.3174610980650154
fg_percent,0.2989139413527378,0.2989139413527378
x3p_percent,0.14948129415196207,0.14948129415196207
age,0.0549513237020306,0.0549513237020306
